geoid,landkreis,stadtkreis
10807313,"Landau in der Pfalz, Stadt",TRUE
10807314,"Ludwigshafen am Rhein, Stadt",TRUE
10807315,"Mainz, Stadt",TRUE
10807316,"Neustadt an der Weinstraße, Stadt",TRUE
10807317,"Pirmasens, Stadt",TRUE
10807318,"Speyer, Stadt",TRUE
10807319,"Worms, Stadt",TRUE
10807320,"Zweibrücken, Stadt",TRUE
10807331,Alzey-Worms,FALSE
10807332,Bad Dürkheim,FALSE
10807333,Donnersbergkreis,FALSE
10807334,Germersheim,FALSE
10807335,Kaiserslautern,FALSE
10807336,Kusel,FALSE
10807337,Südliche Weinstraße,FALSE
10807338,Rhein-Pfalz-Kreis,FALSE
10807339,Mainz-Bingen,FALSE
10807340,Südwestpfalz,FALSE
10808111,"Stuttgart, Stadt",TRUE
10808115,Böblingen,FALSE
10808116,Esslingen,FALSE
10808117,Göppingen,FALSE
10808118,Ludwigsburg,FALSE
10808119,Rems-Murr-Kreis,FALSE
10808121,"Heilbronn, Stadt",TRUE
10808125,Heilbronn,FALSE
10808126,Hohenlohekreis,FALSE
10808127,Schwäbisch Hall,FALSE
10808128,Main-Tauber-Kreis,FALSE
10808135,Heidenheim,FALSE
10808136,Ostalbkreis,FALSE
10808211,"Baden-Baden, Stadt",TRUE
10808212,"Karlsruhe, Stadt",TRUE
10808215,Karlsruhe,FALSE
10808216,Rastatt,FALSE
10808221,"Heidelberg, Stadt",TRUE
10808222,"Mannheim, Stadt",TRUE
10808225,Neckar-Odenwald-Kreis,FALSE
10808226,Rhein-Neckar-Kreis,FALSE
10808231,"Pforzheim, Stadt",TRUE
10808235,Calw,FALSE
10808236,Enzkreis,FALSE
10808237,Freudenstadt,FALSE
10808311,"Freiburg im Breisgau, Stadt",TRUE
10808315,Breisgau-Hochschwarzwald,FALSE
10808316,Emmendingen,FALSE
10808317,Ortenaukreis,FALSE
10808325,Rottweil,FALSE
10808326,Schwarzwald-Baar-Kreis,FALSE
10808327,Tuttlingen,FALSE
10808335,Konstanz,FALSE
10808336,Lörrach,FALSE
10808337,Waldshut,FALSE
10808415,Reutlingen,FALSE
10808416,Tübingen,FALSE
10808417,Zollernalbkreis,FALSE
10808421,"Ulm, Stadt",TRUE
10808425,Alb-Donau-Kreis,FALSE
10808426,Biberach,FALSE
